timestamp,market-cap-value,market-cap-USD,price-per-ether
1438214400,72049306.59375,0,0.00
1438300800,72085498.31250,0,0.00
1438387200,72113204.25000,0,0.00
1438473600,72141427.68750,0,0.00
1438560000,72169404.40625,0,0.00
1438646400,72197882.84375,0,0.00
1438732800,72225411.43750,0,0.00
1438819200,72252486.90625,0,0.00
1438905600,72279924.56250,216.8397736875,3.00
1438992000,72307868.00000,88.21559896,1.22
1439078400,72335046.28125,0,0.00
1439164800,72362863.62500,0,0.00
1439251200,72390891.43750,71.666982523125,0.99
1439337600,72418262.37500,94.1437410875,1.30
1439424000,72446530.50000,138.372873255,1.91
1439510400,72477637.21875,130.45974699375,1.80
1439596800,72506149.87500,129.78600827625,1.79
1439683200,72533244.40625,99.3705448365625,1.37
1439769600,72561363.31250,94.32977230625,1.30
1439856000,72587526.12500,98.71903553,1.36
1439942400,72614808.15625,90.7685101953125,1.25
1440028800,72635865.18750,112.585591040625,1.55
1440115200,72662556.12500,105.36070638125,1.45
1440201600,72690106.59375,101.76614923125,1.40
1440288000,72716362.21875,100.348579861875,1.38
1440374400,72743695.50000,90.20218242,1.24
1440460800,72770431.59375,91.690743808125,1.26
1440547200,72796569.56250,85.171986388125,1.17
1440633600,72821102.37500,83.0160567075,1.14
1440720000,72845327.53125,93.9704725153125,1.29
1440806400,72867852.53125,85.984065986875,1.18
1440892800,72889306.12500,95.48499102375,1.31
1440979200,72910599.56250,95.512885426875,1.31
1441065600,72930942.53125,97.727462991875,1.34
1441152000,72949329.87500,84.621222655,1.16
1441238400,72966710.81250,90.4787214075,1.24
1441324800,72989792.68750,90.5073429325,1.24
1441411200,73015421.75000,100.0311277975,1.37
1441497600,73041590.03125,97.875730641875,1.34
1441584000,73067050.50000,96.44850666,1.32
1441670400,73092943.00000,95.0208259,1.30
1441756800,73119370.65625,91.3992133203125,1.25
1441843200,73145814.87500,84.849145255,1.16
1441929600,73173054.71875,73.9047852659375,1.01
1442016000,73199455.81250,81.98339051,1.12
1442102400,73225627.21875,65.1708082246875,0.89
1442188800,73251215.34375,70.32116673,0.96
1442275200,73276830.65625,69.6129891234375,0.95
1442361600,73303148.78125,70.37102283,0.96
1442448000,73328584.40625,67.46229765375,0.92
1442534400,73354486.12500,62.35131320625,0.85
1442620800,73381665.81250,66.04349923125,0.90
1442707200,73409648.46875,68.2709730759375,0.93
1442793600,73436300.34375,66.092670309375,0.90
1442880000,73462670.65625,63.9125234709375,0.87
